"CommonName","Scientific.name","Category","BOCC.category","Schedule1","Annex2","group","protection"
"brent goose","Branta bernicla","AEF","Amber",0,NA,"bird","AmberBOCC"
"red-breasted goose","Branta ruficollis","AE*F",NA,0,NA,"bird","None"
"canada goose","Branta canadensis","AC2E*",NA,0,NA,"bird","None"
"barnacle goose","Branta leucopsis","AC2E*F","Amber",0,NA,"bird","AmberBOCC"
"cackling goose","Branta hutchinsii","AE",NA,0,NA,"bird","None"
"ross's goose","Anser rossii","AE*",NA,0,NA,"bird","None"
"snow goose","Anser caerulescens","AC2E*",NA,0,NA,"bird","None"
"greylag goose","Anser anser","AC2C4E*F","Amber",1,NA,"bird","Schedule1"
"taiga bean goose","Anser fabalis","AE*F","Amber",0,NA,"bird","AmberBOCC"
"pink-footed goose","Anser brachyrhynchus","AE*F","Amber",0,NA,"bird","AmberBOCC"
"tundra bean goose","Anser serrirostris","AE","Amber",0,NA,"bird","AmberBOCC"
"white-fronted goose","Anser albifrons","AE*F","Red",0,NA,"bird","RedBOCC"
"lesser white-fronted goose","Anser erythropus","AE*F",NA,0,NA,"bird","None"
"mute swan","Cygnus olor","AC2F",NA,0,NA,"bird","None"
"bewick's swan","Cygnus columbianus","AEF","Red",1,NA,"bird","Schedule1"
"whooper swan","Cygnus cygnus","AE*F","Amber",1,NA,"bird","Schedule1"
"egyptian goose","Alopochen aegyptiaca","C1C5E*",NA,0,NA,"bird","None"
"shelduck","Tadorna tadorna","AF","Amber",0,NA,"bird","AmberBOCC"
"ruddy shelduck","Tadorna ferruginea","BDE*F",NA,0,NA,"bird","None"
"mandarin duck","Aix galericulata","C1E*",NA,0,NA,"bird","None"
"baikal teal","Sibirionetta formosa","AE",NA,0,NA,"bird","None"
"garganey","Spatula querquedula","AF","Amber",1,NA,"bird","Schedule1"
"blue-winged teal","Spatula discors","AE*",NA,0,NA,"bird","None"
"shoveler","Spatula clypeata","AF","Amber",0,NA,"bird","AmberBOCC"
"gadwall","Mareca strepera","AC2E*F","Amber",0,NA,"bird","AmberBOCC"
"falcated duck","Mareca falcata","AE",NA,0,NA,"bird","None"
"wigeon","Mareca penelope","AE*F","Amber",0,NA,"bird","AmberBOCC"
"american wigeon","Mareca americana","AE",NA,0,NA,"bird","None"
"mallard","Anas platyrhynchos","AC2C4E*F","Amber",0,NA,"bird","AmberBOCC"
"black duck","Anas rubripes","A",NA,0,NA,"bird","None"
"pintail","Anas acuta","AEF","Amber",1,NA,"bird","Schedule1"
"teal","Anas crecca","AF","Amber",0,NA,"bird","AmberBOCC"
"green-winged teal","Anas carolinensis","A",NA,0,NA,"bird","None"
"red-crested pochard","Netta rufina","AC2E*F",NA,0,NA,"bird","None"
"canvasback","Aythya valisineria","AE",NA,0,NA,"bird","None"
"redhead","Aythya americana","AE",NA,0,NA,"bird","None"
"pochard","Aythya ferina","AE*F","Red",0,NA,"bird","RedBOCC"
"ferruginous duck","Aythya nyroca","AE",NA,0,NA,"bird","None"
"ring-necked duck","Aythya collaris","AE",NA,0,NA,"bird","None"
"tufted duck","Aythya fuligula","AF",NA,0,NA,"bird","None"
"scaup","Aythya marila","AF","Red",1,NA,"bird","Schedule1"
"lesser scaup","Aythya affinis","A",NA,0,NA,"bird","None"
"steller's eider","Polysticta stelleri","A",NA,0,NA,"bird","None"
"king eider","Somateria spectabilis","A",NA,0,NA,"bird","None"
"eider","Somateria mollissima","AF","Amber",0,NA,"bird","AmberBOCC"
"harlequin duck","Histrionicus histrionicus","A",NA,0,NA,"bird","None"
"surf scoter","Melanitta perspicillata","AF",NA,0,NA,"bird","None"
"velvet scoter","Melanitta fusca","AF","Red",1,NA,"bird","Schedule1"
"white-winged scoter","Melanitta deglandi","A",NA,0,NA,"bird","None"
"common scoter","Melanitta nigra","AF","Red",1,NA,"bird","Schedule1"
"black scoter","Melanitta americana","A",NA,0,NA,"bird","None"
"long-tailed duck","Clangula hyemalis","AF","Red",1,NA,"bird","Schedule1"
"bufflehead","Bucephala albeola","AE",NA,0,NA,"bird","None"
"goldeneye","Bucephala clangula","AE*F","Red",1,NA,"bird","Schedule1"
"barrow's goldeneye","Bucephala islandica","AE",NA,0,NA,"bird","None"
"smew","Mergellus albellus","AF","Red",0,NA,"bird","RedBOCC"
"hooded merganser","Lophodytes cucullatus","AE",NA,0,NA,"bird","None"
"goosander","Mergus merganser","AF",NA,0,NA,"bird","None"
"red-breasted merganser","Mergus serrator","AF","Amber",0,NA,"bird","AmberBOCC"
"ruddy duck","Oxyura jamaicensis","C1E*",NA,0,NA,"bird","None"
"red grouse","Lagopus lagopus","AF",NA,0,NA,"bird","None"
"ptarmigan","Lagopus muta","AF","Red",0,NA,"bird","RedBOCC"
"capercaillie","Tetrao urogallus","C3E*F","Red",1,NA,"bird","Schedule1"
"black grouse","Lyrurus tetrix","AEF","Red",0,NA,"bird","RedBOCC"
"grey partridge","Perdix perdix","AC2E*F","Red",0,NA,"bird","RedBOCC"
"golden pheasant","Chrysolophus pictus","C1E*",NA,0,NA,"bird","None"
"lady amherst's pheasant","Chrysolophus amherstiae","C6E*",NA,0,NA,"bird","None"
"pheasant","Phasianus colchicus","C1E*F",NA,0,NA,"bird","None"
"quail","Coturnix coturnix","AE*F","Amber",1,NA,"bird","Schedule1"
"red-legged partridge","Alectoris rufa","C1E*F",NA,0,NA,"bird","None"
"common nighthawk","Chordeiles minor","A",NA,0,NA,"bird","None"
"red-necked nightjar","Caprimulgus ruficollis","B",NA,0,NA,"bird","None"
"nightjar","Caprimulgus europaeus","AF","Amber",0,NA,"bird","AmberBOCC"
"egyptian nightjar","Caprimulgus aegyptius","A",NA,0,NA,"bird","None"
"white-throated needletail","Hirundapus caudacutus","A",NA,0,NA,"bird","None"
"chimney swift","Chaetura pelagica","A",NA,0,NA,"bird","None"
"alpine swift","Tachymarptis melba","AF",NA,0,NA,"bird","None"
